Station information:,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Masterton Ews,10/8/2021,11.2,-,0,10.3,24,D
"Masterton, Te Ore Ore Cws",10/8/2021,13,-,0,12.1,24,D
Maungaraki 3,10/8/2021,3.4,-,0,2.3,24,D
Ngawi Aws,10/8/2021,5,-,0,3.8,24,D
Paraparaumu Aero Aws,10/8/2021,6,-,0,4.8,24,D
Paraparaumu Ews,10/8/2021,5.2,-,0,4,24,D
"Porirua, Elsdon Park Aws",10/8/2021,5.4,-,0,4.4,24,D
Stephens Island Aws,10/8/2021,0,-,-,-,24,D
"Upper Hutt, Trentham Ews",10/8/2021,17.8,-,0,16.8,24,D
Wellington Aero,10/8/2021,4.9,-,0,3.6,24,D
